step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.959892619360645,0,0.0,0.8964004929949163,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.284194335283038,0,0.0,0.9904337195661285,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.356159184942745,0,0.0,0.9959735388010263,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.041630382416633,0,0.0,0.9334737514870586,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.433281996243942,0,0.0,0.9601998091548875,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.668128844590376,0,0.0,0.9663731614249853,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.682640224070335,0,0.0,0.954869943299811,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.108428795203452,0,0.0,0.9813733688290739,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.48103787883201,0,0.0,0.9503083470430589,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.47292418793594,0,0.0,0.9532068236322937,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.55972437556992,0,0.0,0.9738012108615887,0,0.0
70.0,12,0,1,0,12,0,1.0,0.08333333333333333,12.43708995027699,1,1.0,0.8935186735001256,1,1.0
75.0,14,0,2,0,14,0,7.0,0.5,11.654229842573775,2,7.0,0.8378390695884773,2,7.0
80.0,14,0,3,0,14,0,18.0,1.2857142857142858,10.667825777203337,3,18.0,0.7748134616804659,3,18.0
85.0,16,0,3,0,16,0,33.0,2.0625,10.596731325479919,3,33.0,0.7707122851574801,3,33.0
90.0,16,0,4,0,16,0,49.0,3.0625,9.37269270793887,4,49.0,0.6860217778106462,4,49.0
95.0,20,0,6,0,20,0,74.0,3.7,8.750589322018653,6,74.0,0.6479046727134726,6,74.0
100.0,24,0,6,0,24,0,104.0,4.333333333333333,9.57274005072469,6,104.0,0.6972232854661499,6,104.0
