step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.032036575488746,0,0.0,0.896899556244287,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.256640450783287,0,0.0,0.9861170760730548,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.10057978109571,0,0.0,0.9755359681511662,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.906593831325091,0,0.0,0.9190687759531436,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.375065606843282,0,0.0,0.9442133099352787,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.651485597937619,0,0.0,0.9744347432082403,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.500409940889625,0,0.0,0.9530788610730249,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.083460540550576,0,0.0,0.9928986127538094,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.3440920254078,0,0.0,0.9444253296605745,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.358754897732458,0,0.0,0.9253104801344566,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.790811700617175,0,0.0,0.9543382810429147,0,0.0
70.0,12,0,1,0,12,0,3.0,0.25,13.034285335926285,1,3.0,0.9005148437623589,1,3.0
75.0,14,0,1,0,14,0,8.0,0.5714285714285714,12.010592509528381,1,8.0,0.8331763579173285,1,8.0
80.0,14,0,3,0,14,0,19.0,1.3571428571428572,11.100223664804414,3,19.0,0.7727323851236706,3,19.0
85.0,16,0,3,0,16,0,34.0,2.125,11.029391898343636,3,34.0,0.767475198857031,3,34.0
90.0,16,0,4,0,16,0,50.0,3.125,10.623792774612966,4,50.0,0.7377331696254229,4,50.0
95.0,20,0,4,0,20,0,70.0,3.5,9.283770819035906,4,70.0,0.6548327932754359,4,70.0
100.0,24,0,7,0,24,0,101.0,4.208333333333333,9.307485957071183,7,101.0,0.6683928444636696,7,101.0
