step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.124379699060228,0,0.0,0.8466082040833459,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.282059172862597,0,0.0,0.9954594478873535,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.321863200802278,0,0.0,0.9980148706845122,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.65708048800498,0,0.0,0.9355805127935287,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.75503586962127,0,0.0,0.9494088390466631,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.95064591417648,0,0.0,0.965958136352737,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.813758337194963,0,0.0,0.9530048033891337,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.221063269325633,0,0.0,0.9807510554891169,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.61213100381542,0,0.0,0.9446529335816151,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.487276740000562,0,0.0,0.9305435099945274,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.631968452856718,0,0.0,0.8649410153327685,0,0.0
70.0,12,0,1,0,12,0,5.0,0.4166666666666667,12.5674573461171,1,5.0,0.8553792477620132,1,5.0
75.0,14,0,2,0,14,0,14.0,1.0,12.055003254114542,2,14.0,0.8257010334834426,2,14.0
80.0,14,0,1,0,14,0,15.0,1.0714285714285714,11.276988595205797,1,23.0,0.776278591845908,1,23.0
85.0,16,0,2,0,16,0,25.0,1.5625,11.423120630756568,2,25.0,0.8194041356951344,2,25.0
90.0,16,0,2,0,16,0,35.0,2.1875,11.5314257781285,2,35.0,0.8036976173017825,2,35.0
95.0,20,0,3,0,20,0,48.0,2.4,11.382427040402785,3,48.0,0.7688205818163206,3,48.0
100.0,24,0,3,0,24,0,63.0,2.625,11.674690212062714,3,63.0,0.8000504530332129,3,63.0
