step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.614059471234214,0,0.0,0.7219832694071437,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.65999330391299,0,0.0,0.9048399389730668,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,16.040772672800365,0,0.0,0.9816968132499468,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,14.810216465809395,0,0.0,0.9793173722557199,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.957581614977386,0,0.0,0.9530127594573425,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,14.01777153967301,0,0.0,0.9503327611764535,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,14.126049431099561,0,0.0,0.968392430672488,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.302691459391125,0,0.0,0.9808929964910243,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.485170851084868,0,0.0,0.932006838711742,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.526832351054901,0,0.0,0.9240851150503331,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.469359154873375,0,0.0,0.9302215607506124,0,0.0
70.0,12,0,1,0,12,0,4.0,0.3333333333333333,12.963844149820332,1,4.0,0.8939833815696865,1,4.0
75.0,14,0,1,0,14,0,9.0,0.6428571428571429,12.882945745942765,1,9.0,0.8829344916443893,1,9.0
80.0,14,0,1,0,14,0,14.0,1.0,13.223442940807317,1,14.0,0.9090746739171323,1,14.0
85.0,16,0,1,0,16,0,19.0,1.1875,12.658018663093229,1,19.0,0.8568790977574129,1,19.0
90.0,16,0,2,0,16,0,25.0,1.5625,11.658508485765445,2,25.0,0.7759015219869018,2,25.0
95.0,20,0,4,0,20,0,40.0,2.0,10.934463237362355,4,40.0,0.7302914809011327,4,40.0
100.0,24,0,4,0,24,0,60.0,2.5,10.857083504955371,4,60.0,0.7320268512087648,4,60.0
