step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.846062235010322,0,0.0,0.9352650165902439,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.34165823327437,0,0.0,0.9750917341041287,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.391344324178657,0,0.0,0.9785963641601871,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.462278070599238,0,0.0,0.9587274529056719,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.528854200567102,0,0.0,0.9312594054355607,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.242770234647542,0,0.0,0.9808932384065491,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.208196769731089,0,0.0,0.9672379760478057,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.535047604015494,0,0.0,0.9897737743075027,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.004308263008664,0,0.0,0.9492771997687179,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.096979633052054,0,0.0,0.9575193884994594,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.292865513946495,0,0.0,0.9572926223201939,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,13.696705068528447,0,0.0,0.9838058966514996,0,0.0
75.0,14,0,0,0,14,0,0.0,0.0,13.047042482520169,0,0.0,0.9157441201174715,0,0.0
80.0,14,0,1,0,14,0,4.0,0.2857142857142857,12.966204571325989,1,4.0,0.9043019772269087,1,4.0
85.0,16,0,1,0,16,0,9.0,0.5625,12.08869611357853,1,9.0,0.8426171541326195,1,9.0
90.0,16,0,2,0,16,0,18.0,1.125,12.077682635868877,2,18.0,0.8442027730819669,2,18.0
95.0,20,0,2,0,20,0,28.0,1.4,11.47511305731945,2,28.0,0.7977997796736429,2,28.0
100.0,24,0,3,0,24,0,42.0,1.75,11.516921170155571,3,42.0,0.8120331279617945,3,42.0
