step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.878741849795915,0,0.0,0.7521045773906405,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,15.118790280848096,0,0.0,0.9569238304465701,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,15.505111829181438,0,0.0,0.9809215205838673,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,14.454547885946155,0,0.0,0.9479884672092552,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.93928356737656,0,0.0,0.9811211463935028,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.567916634608562,0,0.0,0.9726787114966482,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.431138251830156,0,0.0,0.9550599426209314,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.77427193092384,0,0.0,0.9795134633183246,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.23636966340337,0,0.0,0.9643536515075424,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.00338629102625,0,0.0,0.9380369190449385,0,0.0
65.0,12,0,2,0,12,0,2.0,0.16666666666666666,10.742883696761021,2,2.0,0.7879589813098554,2,2.0
70.0,12,0,2,0,12,0,12.0,1.0,11.177415963365782,2,12.0,0.8171981885514631,2,12.0
75.0,14,0,2,0,14,0,22.0,1.5714285714285714,11.30559481841856,2,22.0,0.835607259795386,2,22.0
80.0,14,0,2,0,14,0,32.0,2.2857142857142856,11.391744519420074,2,32.0,0.8425421300999006,2,32.0
85.0,16,0,3,0,16,0,43.0,2.6875,10.399130887241732,3,43.0,0.7787485163831684,3,43.0
90.0,16,0,3,0,16,0,58.0,3.625,10.632403188838104,3,58.0,0.7951611166373387,3,58.0
95.0,20,0,3,0,20,0,73.0,3.65,10.05088562716099,3,73.0,0.7626542461944645,3,73.0
100.0,24,0,5,0,24,0,95.0,3.9583333333333335,9.869095560813884,5,95.0,0.7410213687854003,5,95.0
