step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.569117597246077,0,0.0,0.7983102163122449,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.203279802003959,0,0.0,0.9798329483410814,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.28329642024924,0,0.0,0.98571650331355,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.498842324525173,0,0.0,0.9810263838376369,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.983161588150015,0,0.0,0.962813769925119,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.012130875176998,0,0.0,0.9494992444603912,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.189210526123112,0,0.0,0.955937285005639,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.648849702693303,0,0.0,0.9882060736718844,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.050728106580857,0,0.0,0.9540713580580755,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.032139075372251,0,0.0,0.9661871642911407,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.181909627909976,0,0.0,0.9130534316437355,0,0.0
70.0,12,0,1,0,12,0,5.0,0.4166666666666667,11.996158456090635,1,5.0,0.8946142283206983,1,5.0
75.0,14,0,1,0,14,0,10.0,0.7142857142857143,12.018775712817318,1,10.0,0.8998955955519287,1,10.0
80.0,14,0,1,0,14,0,15.0,1.0714285714285714,12.077957403481514,1,15.0,0.9066375447286862,1,15.0
85.0,16,0,1,0,16,0,20.0,1.25,11.872178409497115,1,20.0,0.8890517256257922,1,20.0
90.0,16,0,1,0,16,0,25.0,1.5625,10.940223797052635,1,25.0,0.81462952415607,1,25.0
95.0,19,1,3,0,19,0,38.0,2.0,10.58395974689815,3,38.0,0.7702408355918289,3,38.0
100.0,24,0,3,0,24,0,53.0,2.2083333333333335,11.029991352534168,3,53.0,0.7954235627286014,3,53.0
