step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.371441442403011,0,0.0,0.8565041475152089,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.92367028938444,0,0.0,0.9642032710916182,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.195426742707618,0,0.0,0.9838154888049948,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.713724183647122,0,0.0,0.943538827497645,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.608968008818367,0,0.0,0.9791823144332839,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,12.566441179986136,0,0.0,0.9629825664543352,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,12.541300600469633,0,0.0,0.9375406626355347,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.155909155740625,0,0.0,0.9790498358842911,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.6773338301035,0,0.0,0.9446583974091249,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.82436862440951,0,0.0,0.9444196177456448,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.17391576603334,0,0.0,0.8831925610660551,0,0.0
70.0,12,0,1,0,12,0,4.0,0.3333333333333333,12.452459688583817,1,4.0,0.8993683156828535,1,4.0
75.0,14,0,1,0,14,0,9.0,0.6428571428571429,12.31459593038836,1,9.0,0.9023075289298665,1,9.0
80.0,14,0,1,0,14,0,14.0,1.0,11.56460513196089,1,14.0,0.8390380492406917,1,14.0
85.0,16,0,2,0,16,0,24.0,1.5,10.728014029006752,2,24.0,0.7786423031791024,2,24.0
90.0,16,0,3,0,16,0,38.0,2.375,10.929023818542687,3,38.0,0.7925394604136039,3,38.0
95.0,20,0,4,0,20,0,55.0,2.75,9.49993720595913,4,55.0,0.6958628752411449,4,55.0
100.0,24,0,5,0,24,0,80.0,3.3333333333333335,10.007064833520277,5,80.0,0.7314995387977953,5,80.0
