step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.634758496424183,0,0.0,0.7269884589927351,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.941628593112469,0,0.0,0.932872812755408,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,15.750202395268264,0,0.0,0.9809707629172159,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,14.411925983546622,0,0.0,0.9234112499777402,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,14.330393845190475,0,0.0,0.9698096080741784,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,14.128891059841013,0,0.0,0.9551795451932177,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.945580703764847,0,0.0,0.979162068553982,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.875898803521883,0,0.0,0.9750308162438354,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.39761973642139,0,0.0,0.9257367419030182,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.883504048290295,0,0.0,0.9159728342945354,0,0.0
65.0,12,0,1,0,12,0,1.0,0.08333333333333333,10.935436988714867,1,2.0,0.8108973456196812,1,2.0
70.0,12,0,1,0,12,0,6.0,0.5,11.403515648620532,1,6.0,0.8936970629727228,1,6.0
75.0,14,0,0,0,14,0,0.0,0.0,11.638520572855032,0,10.0,0.8689740322357733,0,10.0
80.0,14,0,0,0,14,0,0.0,0.0,12.274922320461437,0,0.0,0.9461159424304846,0,0.0
85.0,16,0,0,0,16,0,0.0,0.0,12.494251134411908,0,0.0,0.9109310729282494,0,0.0
90.0,16,0,0,0,16,0,0.0,0.0,12.25866985535266,0,0.0,0.8674927693889622,0,0.0
95.0,19,1,0,0,19,0,0.0,0.0,12.077013252470481,0,3.0,0.8540334409791556,0,3.0
100.0,24,0,1,0,24,0,4.0,0.16666666666666666,11.661668762976127,1,4.0,0.8462442684352804,1,4.0
