step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.035217854951043,0,0.0,0.8812036206682998,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.483025233007425,0,0.0,0.9873491435500694,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.307272786660974,0,0.0,0.974456379484457,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.932797063204129,0,0.0,0.975081413087977,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.735071571386637,0,0.0,0.9557108766232152,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,12.962665789380347,0,0.0,0.9623772005526838,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.02541850050669,0,0.0,0.9655059874449293,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.19037169097554,0,0.0,0.9775878287766947,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.79220208428,0,0.0,0.9358336499033391,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.948497400915812,0,0.0,0.9465565004076814,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.238335845819478,0,0.0,0.9590956240361147,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,11.814755206203417,0,0.0,0.8540410154499757,0,0.0
75.0,14,0,2,0,14,0,8.0,0.5714285714285714,11.522423910418143,2,8.0,0.838133225010016,2,8.0
80.0,14,0,2,0,14,0,18.0,1.2857142857142858,11.443998222454512,2,18.0,0.8332839589097117,2,18.0
85.0,16,0,2,0,16,0,28.0,1.75,11.376713287941211,2,28.0,0.8329947272037027,2,28.0
90.0,16,0,3,0,16,0,39.0,2.4375,10.31430496527701,3,39.0,0.7486050618746141,3,39.0
95.0,19,1,5,0,19,0,59.0,3.1052631578947367,9.504550869621964,5,59.0,0.6796400890364614,5,59.0
100.0,24,0,5,0,24,0,84.0,3.5,9.846647645226604,5,84.0,0.7147564633021665,5,84.0
