step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.918729448982049,0,0.0,0.802455667532154,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.17752587503304,0,0.0,0.942756691853496,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.872838313474077,0,0.0,0.9829775386669579,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.98258974834919,0,0.0,0.8984415501825227,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,14.019729566068232,0,0.0,0.9781491159807141,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.609026900453852,0,0.0,0.9777595905922304,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.44523812398422,0,0.0,0.9675689733121929,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.54971435141807,0,0.0,0.9752748597169599,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.104753665899475,0,0.0,0.950848054522615,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.09884434801294,0,0.0,0.9443301882089234,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.365407747887593,0,0.0,0.9626595076005326,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,13.694731013977867,0,0.0,0.9872580212288338,0,0.0
75.0,14,0,0,0,14,0,0.0,0.0,12.66132099890481,0,0.0,0.8772100951086906,0,0.0
80.0,14,0,1,0,14,0,5.0,0.35714285714285715,12.850771275330528,1,5.0,0.8925300495434719,1,5.0
85.0,16,0,1,0,16,0,10.0,0.625,12.69710788631916,1,10.0,0.8819737583613592,1,10.0
90.0,16,0,1,0,16,0,15.0,0.9375,13.087235568197665,1,15.0,0.9125404032587742,1,15.0
95.0,20,0,1,0,20,0,20.0,1.0,12.574889277909284,1,20.0,0.8660001004934573,1,20.0
100.0,24,0,2,0,24,0,26.0,1.0833333333333333,12.319453837571885,2,26.0,0.855704233004113,2,26.0
