step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.570792425845433,0,0.0,0.9637238583721152,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,11.776731233322234,0,0.0,0.9808409985337854,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,11.830567262228751,0,0.0,0.9853535154524833,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,11.914621801216581,0,0.0,0.9308166865003643,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.350140558406094,0,0.0,0.9371457494145445,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,12.852255563555172,0,0.0,0.9708040563139196,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,12.820292032261131,0,0.0,0.9694151487029136,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,12.996989817820998,0,0.0,0.98320115995607,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.568836323798084,0,0.0,0.9194553376294355,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.882330096258135,0,0.0,0.9337146208634849,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.337148315975632,0,0.0,0.9787924957477755,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,13.36432620196932,0,0.0,0.9805837345118104,0,0.0
75.0,14,0,0,0,14,0,0.0,0.0,13.176015905960748,0,0.0,0.9551597751802481,0,0.0
80.0,14,0,1,0,14,0,3.0,0.21428571428571427,12.153503793422319,1,3.0,0.8658791991999498,1,3.0
85.0,16,0,2,0,16,0,12.0,0.75,11.600497459799312,2,12.0,0.8237471361506551,2,12.0
90.0,16,0,2,0,16,0,22.0,1.375,11.873603093076486,2,22.0,0.8344054273155601,2,22.0
95.0,20,0,2,0,20,0,32.0,1.6,11.103355770606045,2,32.0,0.7755015665275242,2,32.0
100.0,24,0,3,0,24,0,45.0,1.875,11.429215372429113,3,45.0,0.8008750282773722,3,45.0
