step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.799576324468944,0,0.0,0.7451788551271015,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,15.251043895201292,0,0.0,0.9631449547712421,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,15.559112999103373,0,0.0,0.9827039240980295,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,14.304004743760059,0,0.0,0.9138844026578329,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,14.529340172369125,0,0.0,0.9195664912680043,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,14.741242402006758,0,0.0,0.9586689421249639,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,14.611939878239314,0,0.0,0.9822932232278575,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.654609473730146,0,0.0,0.9853392335832533,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.733257620662194,0,0.0,0.9426230757829311,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.530977367223334,0,0.0,0.9425806978116101,0,0.0
65.0,12,0,1,0,12,0,1.0,0.08333333333333333,12.501530791494885,1,1.0,0.8753191519538907,1,1.0
70.0,12,0,1,0,12,0,6.0,0.5,12.744769720598113,1,6.0,0.8951701005401165,1,6.0
75.0,14,0,0,0,14,0,0.0,0.0,12.69160236582091,0,10.0,0.897387692184876,0,10.0
80.0,14,0,0,0,14,0,0.0,0.0,12.585458614707667,0,0.0,0.9421458579879118,0,0.0
85.0,16,0,0,0,16,0,0.0,0.0,11.887344610957179,0,1.0,0.8560045268588223,0,1.0
90.0,16,0,0,0,16,0,0.0,0.0,12.761071084514715,0,0.0,0.9611135054502272,0,0.0
95.0,19,1,1,0,19,0,1.0,0.05263157894736842,12.233803775609482,1,1.0,0.8540405991257496,1,1.0
100.0,24,0,1,0,24,0,6.0,0.25,12.74009088417521,1,6.0,0.8747566768436158,1,6.0
