step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.678069172950927,0,0.0,0.9087982566785795,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,12.722421637781249,0,0.0,0.989898979836794,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,12.761456422494543,0,0.0,0.993052116757411,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.29572586446585,0,0.0,0.917537079245399,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.808459548001393,0,0.0,0.9231876245838587,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.356851866968995,0,0.0,0.9753027291161324,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.128549100178796,0,0.0,0.9705002514740007,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.247352639571455,0,0.0,0.979725525770875,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.78528881564073,0,0.0,0.9435652625565557,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.849444614737934,0,0.0,0.9487894170431346,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.146035218811841,0,0.0,0.9677601182441964,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,12.922543149316143,0,0.0,0.949338644702459,0,0.0
75.0,14,0,1,0,14,0,4.0,0.2857142857142857,11.65807500532229,1,4.0,0.8502552193230545,1,4.0
80.0,14,0,2,0,14,0,14.0,1.0,10.982337535966314,2,14.0,0.802548557528847,2,14.0
85.0,16,0,3,0,16,0,27.0,1.6875,9.666189728960113,3,27.0,0.7097679373360883,3,27.0
90.0,16,0,4,0,16,0,47.0,2.9375,9.996819981715426,4,47.0,0.7323460530705571,4,47.0
95.0,20,0,4,0,20,0,67.0,3.35,10.169292813616764,4,67.0,0.7388311744684639,4,67.0
100.0,24,0,5,0,24,0,89.0,3.7083333333333335,10.341731862522726,5,89.0,0.740829363500949,5,89.0
