step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.11011335940566,0,0.0,0.8260135748161173,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.459127650179111,0,0.0,0.9806637024632012,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.568739974569962,0,0.0,0.9869675249007008,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.814718923020154,0,0.0,0.9702022817444051,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.40879653625339,0,0.0,0.9284194100129495,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.943670660329342,0,0.0,0.9512215892351253,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,14.194867791133353,0,0.0,0.9685582330009979,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.33932273083776,0,0.0,0.9783367889601905,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.687940559173162,0,0.0,0.9393575568310322,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.766627280880366,0,0.0,0.946666124138325,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.916846007541764,0,0.0,0.9722788980991552,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,12.91795456450136,0,0.0,0.8961023557233737,0,0.0
75.0,14,0,1,0,14,0,5.0,0.35714285714285715,12.810940768557156,1,5.0,0.8713221553017305,1,5.0
80.0,14,0,1,0,14,0,10.0,0.7142857142857143,13.351346222755685,1,10.0,0.9086218819670573,1,10.0
85.0,16,0,1,0,16,0,15.0,0.9375,12.630224240171577,1,15.0,0.8706040515361988,1,15.0
90.0,16,0,3,0,16,0,26.0,1.625,11.321822687018829,3,26.0,0.770255500775202,3,26.0
95.0,19,1,3,0,19,0,41.0,2.1578947368421053,11.296086635625567,3,41.0,0.7725325837098969,3,41.0
100.0,24,0,3,0,24,0,56.0,2.3333333333333335,11.381539877531447,3,56.0,0.7847111152913956,3,56.0
