step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.117824499786366,0,0.0,0.8176980849472035,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,14.711930577159965,0,0.0,0.9896971563491446,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.663559356512142,0,0.0,0.9860749219939695,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.589326950079675,0,0.0,0.9943478170628235,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.114431182343449,0,0.0,0.9209091303793179,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.746941170549528,0,0.0,0.9548172015416171,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.854772744793024,0,0.0,0.9577816121162335,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.323587424940394,0,0.0,0.9894678614461058,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.613779726862997,0,0.0,0.9264446583619319,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.608922192680623,0,0.0,0.9470698473573874,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.774000717923771,0,0.0,0.9518713692695548,0,0.0
70.0,12,0,1,0,12,0,2.0,0.16666666666666666,13.045671087892657,1,2.0,0.895598537890325,1,2.0
75.0,14,0,1,0,14,0,7.0,0.5,12.809651961394161,1,7.0,0.8816999203987405,1,7.0
80.0,14,0,1,0,14,0,12.0,0.8571428571428571,12.475838209316715,1,12.0,0.862398743956606,1,12.0
85.0,16,0,2,0,16,0,21.0,1.3125,11.755574389204469,2,21.0,0.8241537809090631,2,21.0
90.0,16,0,2,0,16,0,31.0,1.9375,11.539939010529416,2,31.0,0.8065953132135827,2,31.0
95.0,20,0,3,0,20,0,43.0,2.15,10.173007096133206,3,43.0,0.7058721783643689,3,43.0
100.0,24,0,5,0,24,0,65.0,2.7083333333333335,10.43466501151882,5,65.0,0.729182870523027,5,65.0
