step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,12.102012574963737,0,0.0,0.9091043311703244,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.14442831835647,0,0.0,0.986987171576376,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.063567863127057,0,0.0,0.9811290084676263,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.844677005111754,0,0.0,0.9105054224735644,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.558148211242397,0,0.0,0.9679329890926118,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.616743165378859,0,0.0,0.9780878810619095,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.18063277497322,0,0.0,0.9775840317000464,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.213272475174717,0,0.0,0.979587663386697,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.84281696948381,0,0.0,0.9517370037680888,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.84577347029482,0,0.0,0.9696709956591482,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,13.028830531492261,0,0.0,0.967747918286316,0,0.0
70.0,12,0,1,0,12,0,2.0,0.16666666666666666,12.164079614010296,1,2.0,0.9033065602734635,1,2.0
75.0,14,0,1,0,14,0,7.0,0.5,11.82023515356167,1,7.0,0.8686697233557273,1,7.0
80.0,14,0,2,0,14,0,14.0,1.0,11.253137119707636,2,14.0,0.8315943739873322,2,14.0
85.0,16,0,2,0,16,0,24.0,1.5,11.123344914131444,2,24.0,0.8253266994226999,2,24.0
90.0,16,0,2,0,16,0,34.0,2.125,11.285876158622107,2,34.0,0.840095932511406,2,34.0
95.0,20,0,2,0,20,0,44.0,2.2,10.549686729068647,2,44.0,0.7786055111040526,2,44.0
100.0,24,0,3,0,24,0,59.0,2.4583333333333335,10.861594150146386,3,59.0,0.8183451193623644,3,59.0
