step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.724782637727913,0,0.0,0.8182468219563734,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.806449100015005,0,0.0,0.9500731760297239,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,14.386839693044045,0,0.0,0.9868572958670774,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.676122007607304,0,0.0,0.9318899675589689,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.61735423451973,0,0.0,0.9318182797086201,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,14.003216675919603,0,0.0,0.9497654466170922,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,14.139092937438702,0,0.0,0.9748454694453673,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,14.257310884102296,0,0.0,0.9832718540747583,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,13.514245442955772,0,0.0,0.9646182891832517,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.04295119768283,0,0.0,0.9253330647072466,0,0.0
65.0,12,0,1,0,12,0,2.0,0.16666666666666666,12.31559916361998,1,2.0,0.8717480272879099,1,2.0
70.0,12,0,1,0,12,0,7.0,0.5833333333333334,12.726228379734435,1,7.0,0.8988884944876673,1,7.0
75.0,14,0,2,0,14,0,13.0,0.9285714285714286,11.834494294061638,2,13.0,0.8350731167783464,2,13.0
80.0,14,0,2,0,14,0,23.0,1.6428571428571428,11.040135919282681,2,23.0,0.7827838944568094,2,23.0
85.0,16,0,3,0,16,0,38.0,2.375,10.631457541993207,3,38.0,0.7516414432683147,3,38.0
90.0,16,0,5,0,16,0,55.0,3.4375,9.20327931681963,5,55.0,0.6541391654755592,5,55.0
95.0,20,0,5,0,20,0,80.0,4.0,9.68546572339675,5,80.0,0.6909490011717182,5,80.0
100.0,24,0,5,0,24,0,105.0,4.375,10.20326082619744,5,105.0,0.7259423755684377,5,105.0
