step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.813892202451825,0,0.0,0.8508566959245345,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.759382091420974,0,0.0,0.9882475302898927,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.805214533016823,0,0.0,0.9920234201825815,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.190409373929905,0,0.0,0.9709876866667232,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.962406230443335,0,0.0,0.9470332278271076,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.33571063707132,0,0.0,0.9745089426936542,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.149624041022207,0,0.0,0.948079577321637,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.723692299310017,0,0.0,0.9871272918450065,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.96290090608704,0,0.0,0.9599711079449401,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.758892015025626,0,0.0,0.9630316336103419,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.059595019763469,0,0.0,0.9164564612780534,0,0.0
70.0,12,0,1,0,12,0,4.0,0.3333333333333333,11.844034210182818,1,4.0,0.9029672939721459,1,4.0
75.0,14,0,2,0,14,0,10.0,0.7142857142857143,11.025743541666959,2,10.0,0.8411428181208394,2,10.0
80.0,14,0,2,0,14,0,20.0,1.4285714285714286,11.102986184468401,2,20.0,0.8468021493119223,2,20.0
85.0,16,0,1,0,16,0,19.0,1.1875,11.110478078357009,1,29.0,0.8328915294002731,1,29.0
90.0,16,0,2,0,16,0,26.0,1.625,10.899420894492332,2,26.0,0.8327878846112863,2,26.0
95.0,20,0,3,0,20,0,37.0,1.85,9.906038847058543,3,37.0,0.7188562376501679,3,37.0
100.0,24,0,4,0,24,0,56.0,2.3333333333333335,10.785319176839161,4,56.0,0.7815433073850445,4,56.0
