step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.489629371091723,0,0.0,0.8438788944902218,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.164447611622542,0,0.0,0.967146406353941,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.477523887838267,0,0.0,0.9901706144109876,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,12.73153370749428,0,0.0,0.990573197534737,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,12.32840726657472,0,0.0,0.9736208839037781,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,12.38952121362952,0,0.0,0.9793000305374401,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,12.324675562488267,0,0.0,0.9528214618774059,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,12.679031477559022,0,0.0,0.9754923277795168,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.361565888202263,0,0.0,0.943949974385353,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,12.631450519941783,0,0.0,0.9530710647986412,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.881799253087506,0,0.0,0.958920732623731,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,12.154194830845801,0,0.0,0.9042037943761289,0,0.0
75.0,14,0,1,0,14,0,5.0,0.35714285714285715,12.146998713482214,1,5.0,0.8783750268472446,1,5.0
80.0,14,0,1,0,14,0,10.0,0.7142857142857143,12.59034313495424,1,10.0,0.906405809747552,1,10.0
85.0,16,0,1,0,16,0,15.0,0.9375,12.362572003680668,1,15.0,0.8971054475996593,1,15.0
90.0,16,0,1,0,16,0,20.0,1.25,12.54975959422967,1,20.0,0.9125825145948656,1,20.0
95.0,20,0,1,0,20,0,25.0,1.25,11.424127458429071,1,25.0,0.8188949791091925,1,25.0
100.0,24,0,5,0,24,0,39.0,1.625,10.483770628154977,5,39.0,0.7497395660299387,5,39.0
