step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,2,0,0,0,2,0,0.0,0.0,11.8453163774102,0,0.0,0.8490272643585118,0,0.0
20.0,2,0,0,0,2,0,0.0,0.0,13.694536042660388,0,0.0,0.9801291648608526,0,0.0
25.0,2,0,0,0,2,0,0.0,0.0,13.64088297416913,0,0.0,0.9771923182605046,0,0.0
30.0,3,0,0,0,3,0,0.0,0.0,13.294845848983718,0,0.0,0.9065290455527278,0,0.0
35.0,4,0,0,0,4,0,0.0,0.0,13.7299232211598,0,0.0,0.9835954057684663,0,0.0
40.0,5,0,0,0,5,0,0.0,0.0,13.625025468236998,0,0.0,0.9894125862709258,0,0.0
45.0,6,0,0,0,6,0,0.0,0.0,13.361769242744776,0,0.0,0.9838772176751035,0,0.0
50.0,6,0,0,0,6,0,0.0,0.0,13.310859199406693,0,0.0,0.9809391011289668,0,0.0
55.0,8,0,0,0,8,0,0.0,0.0,12.892129697557884,0,0.0,0.9496974482636485,0,0.0
60.0,10,0,0,0,10,0,0.0,0.0,13.062227024892621,0,0.0,0.965266576271884,0,0.0
65.0,12,0,0,0,12,0,0.0,0.0,12.604052586185576,0,0.0,0.9330940167307394,0,0.0
70.0,12,0,0,0,12,0,0.0,0.0,11.987925553929083,0,3.0,0.8894640670115016,0,3.0
75.0,14,0,1,0,14,0,2.0,0.14285714285714285,11.546901370262697,1,2.0,0.8698073010114972,1,2.0
80.0,14,0,1,0,14,0,7.0,0.5,12.116065870305205,1,7.0,0.8937157886164294,1,7.0
85.0,16,0,1,0,16,0,12.0,0.75,12.057519323975447,1,12.0,0.8698840843475214,1,12.0
90.0,16,0,1,0,16,0,17.0,1.0625,12.66152814214566,1,17.0,0.905801782892679,1,17.0
95.0,20,0,1,0,20,0,22.0,1.1,12.22572238848883,1,22.0,0.870068594724137,1,22.0
100.0,24,0,1,0,24,0,27.0,1.125,12.217182858743383,1,27.0,0.8679123232983132,1,27.0
